Time,Source,Sequence
5.0521,1,53649
5.10068,1,55565
5.10068,1,57481
5.10068,1,59397
5.10068,2,30657
5.10068,2,32573
5.10068,2,34489
5.10877,2,36405
5.11687,2,38321
5.16545,2,40237
5.16545,2,42153
5.16545,2,44069
5.16545,2,45985
5.16545,2,47901
5.16545,2,49817
5.17354,2,51733
5.18164,2,53649
5.23021,2,55565
5.23021,2,57481
5.23021,2,59397
5.23021,3,30657
5.23021,3,32573
5.23021,3,34489
5.23831,3,36405
5.24641,3,38321
5.25837,3,40237
5.29498,3,42153
5.29498,3,44069
5.29498,3,45985
5.29498,3,47901
5.29498,3,49817
5.30308,3,51733
5.31117,3,53649
5.35975,4,29699
5.35975,4,30657
5.35975,4,14371
5.35975,5,29699
5.35975,5,30657
5.35975,5,14371
5.36785,6,29699
5.37594,6,30657
5.39794,6,14371
5.39794,7,30657
5.42452,7,14371
5.42452,8,29699
5.42452,8,30657
5.42452,8,14371
5.43261,4,14371
5.44071,9,29699
5.48929,9,30657
5.48929,9,14371
5.48929,10,29699
5.48929,10,30657
5.48929,10,14371
5.48929,11,29699
5.49738,11,30657
5.50548,5,14371
5.53402,11,14371
5.53402,12,29699
5.53402,12,30657
5.55405,12,14371
5.55405,1,29699
5.55405,1,30657
5.56215,1,14371
5.57025,6,14371
5.61882,2,29699
5.61882,2,30657
5.61882,2,14371
5.61882,3,29699
5.61882,3,30657
5.61882,3,14371
5.62692,7,14371
5.63501,4,29699
5.67465,4,30657
5.67465,4,14371
5.67465,5,29699
5.67465,5,30657
5.67465,5,14371
5.68359,8,14371
5.69169,6,29699
5.69978,6,30657
5.74836,6,14371
5.74836,7,29699
5.74836,7,30657
5.74836,7,14371
5.74836,9,14371
5.74836,8,29699
5.75645,8,30657
5.76455,8,14371
5.81313,9,29699
5.81313,9,30657
5.81313,9,14371
5.81313,10,14371
5.81313,10,29699
5.81313,10,30657
5.82122,10,14371
5.82932,11,29699
5.87789,11,30657
5.87789,11,14371
5.87789,12,29699
5.87789,11,14371
5.87789,12,30657
5.87789,12,14371
5.88599,1,60355
5.89409,1,61313
5.95271,1,29699
5.95271,12,14371
6.00743,2,60355
6.01553,2,61313
6.02362,2,29699
6.09139,1,14371
6.13697,3,25867
6.22901,2,14371
6.25841,4,16287
6.25922,4,17245
6.28269,5,16287
6.2835,5,17245
6.30698,6,16287
6.30779,6,17245
6.32317,7,16287
6.32398,7,17245
6.34746,8,16287
6.34827,8,17245
6.36995,3,14371
6.37985,9,16287
6.38066,9,17245
6.40413,10,16287
6.40494,10,17245
6.43652,11,16287
6.43733,11,17245
6.46081,12,16287
6.46162,12,17245
6.48509,1,16287
6.4859,1,17245
6.51034,4,14371
6.51748,2,16287
6.51829,2,17245
6.54177,3,16287
6.54258,3,17245
6.57415,4,16287
6.57496,4,17245
6.59844,5,16287
6.63082,6,16287
6.65511,7,16287
6.68251,1,29699
6.68749,8,16287
6.71178,9,16287
6.74417,10,16287
6.76845,11,16287
6.80084,12,16287
6.82513,1,31615
6.82594,1,32573
6.85751,2,31615
6.8737,3,27783
6.88989,4,18203
6.8907,4,19161
6.89151,4,20119
6.90609,5,18203
6.9069,5,19161
6.90771,5,20119
6.92228,6,18203
6.92309,6,19161
6.9239,6,20119
6.93847,7,18203
6.93928,7,19161
6.94009,7,20119
6.95466,8,18203
6.95547,8,19161
6.95628,8,20119
6.97895,9,18203
6.97976,9,19161
6.98057,9,20119
6.99514,10,18203
6.99595,10,19161
6.99676,10,20119
7.01133,11,18203
7.01214,11,19161
7.01295,11,20119
7.02753,12,18203
7.02834,12,19161
7.02915,12,20119
7.04372,1,18203
7.04453,1,19161
7.04534,1,20119
7.06801,2,18203
7.06882,2,19161
7.06963,2,20119
7.0842,3,18203
7.08501,3,19161
7.08582,3,20119
7.10039,4,18203
7.1012,4,19161
7.10201,4,20119
7.11658,5,18203
7.11739,5,31615
7.12468,6,18203
7.12549,6,31615
7.13277,7,18203
7.13358,7,31615
7.14897,8,18203
7.14978,8,31615
7.15706,9,18203
7.15787,9,31615
7.16516,10,18203
7.16597,10,31615
7.17325,11,18203
7.17406,11,31615
7.18135,12,18203
7.18216,12,31615
7.18945,1,33531
7.19026,1,34489
7.19107,1,35447
7.20564,2,33531
7.20645,2,62271
7.21373,3,29699
7.22183,4,21077
7.22264,4,22035
7.22345,4,22993
7.23802,4,23951
7.23883,4,24909
7.23964,4,25867
7.24612,5,21077
7.24693,5,22035
7.24774,5,22993
7.26231,5,23951
7.26312,5,24909
7.26393,5,25867
7.27041,6,21077
7.27122,6,22035
7.27203,6,22993
7.2866,6,23951
7.28741,6,24909
7.28822,6,25867
7.29469,7,21077
7.2955,7,22035
7.29631,7,22993
7.31089,7,23951
7.3117,7,24909
7.31251,7,25867
7.31898,8,21077
7.31979,8,22035
7.3206,8,22993
7.33517,8,23951
7.33598,8,24909
7.33679,8,25867
7.34327,9,21077
7.34408,9,22035
7.34489,9,22993
7.35946,9,23951
7.36027,9,24909
7.36108,9,25867
7.36756,10,21077
7.36837,10,22035
7.36918,10,22993
7.38375,10,23951
7.38456,10,24909
7.38537,10,25867
7.39185,11,21077
7.39266,11,22035
7.39347,11,22993
7.40804,11,23951
7.40885,11,24909
7.40966,11,25867
7.41613,12,21077
7.41694,12,22035
7.41775,12,22993
7.43233,12,23951
7.43314,12,24909
7.43395,12,25867
7.44042,1,21077
7.44123,1,22035
7.44204,1,22993
7.45661,1,23951
7.45742,1,24909
7.45823,1,25867
7.46471,2,21077
7.46552,2,22035
7.46633,2,22993
7.4809,2,23951
7.48171,2,24909
7.48252,2,25867
7.489,3,21077
7.48981,3,22035
7.49062,3,22993
7.50519,3,23951
7.506,3,24909
7.50681,3,25867
7.51329,4,21077
7.5141,4,22035
7.51491,4,22993
7.52948,4,23951
7.53029,4,24909
7.5311,4,25867
7.53757,5,20119
7.53838,5,32573
7.54567,5,33531
7.55377,6,20119
7.55458,6,32573
7.56186,6,33531
7.56996,7,20119
7.57077,7,32573
7.57805,7,33531
7.58615,8,20119
7.58696,8,32573
7.59425,8,33531
7.60234,9,20119
7.60315,9,32573
7.61044,9,33531
7.61853,10,20119
7.61934,10,32573
7.62663,10,33531
7.63473,11,20119
7.63554,11,32573
7.64282,11,33531
7.65092,12,20119
7.65173,12,32573
7.65901,12,33531
7.66711,1,36405
7.66792,1,37363
7.66873,1,38321
7.6833,1,39279
7.68411,1,40237
7.68492,1,41195
7.6914,2,35447
7.69221,2,63229
7.69949,2,64187
7.70759,3,31615
